region,commune,number_of_municipalities_in_region,school_water_source_municipality,school_water_source_ranking_below,school_latrine_municipality,school_latrine_ranking_below,school_supplies_delay_municipality,school_supplies_delay_ranking_below,CEP_admission_municipality,CEP_admission_ranking_below,functional_water_source_municipality,functional_water_source_ranking_below,CSPS_gas_municipality,CSPS_gas_ranking_below,vaccinated_infants_municipality,vaccinated_infants_ranking_below,assisted_deliveries_municipality,assisted_deliveries_ranking_below,birth_certificate_municipality,birth_certificate_ranking_below,summary_performance,summary_municipality,summary_ranking_below
SAH,GOROM-GOROM,26,42,13,40,15,4,7,55,14,45,18,100,0,106,9,45,19,14,14,AUTANT,45,13
SAH,KELBO,26,44,12,20,21,10,17,49,17,69,2,0,10,105,12,79,11,32,8,AUTANT,43,16
SAH,KOUTOUGOU,26,46,11,50,8,18,20,93,0,38,21,0,10,64,25,31,23,10,18,MOINS,35,22
SAH,MANSILA,26,20,24,15,23,0,1,63,11,69,1,0,10,100,14,99,6,9,19,AUTANT,47,12
SAH,MARKOYE,26,35,19,40,15,9,14,56,13,50,16,0,10,119,2,40,21,11,16,MOINS,33,23
SAH,NASSOUMBOU,26,50,8,40,15,10,17,83,2,48,17,33,8,83,23,42,20,65,0,PLUS,47,9
SAH,OURSI,26,40,14,10,25,6,9,81,3,30,24,100,0,116,5,30,24,11,15,PLUS,44,9
SAH,POBE-MENGAO,26,26,23,86,0,3,5,70,6,64,6,100,0,89,20,85,9,19,12,PLUS,62,3
SAH,SAMPELGA,26,72,2,60,6,6,9,32,24,58,12,0,10,106,8,100,5,16,13,PLUS,54,6
SAH,SEBBA,26,79,1,14,24,2,3,34,23,66,5,0,10,113,6,121,0,5,22,PLUS,53,8
SAH,SEYTENGA,26,62,3,50,8,44,25,42,19,53,14,0,10,100,15,70,12,37,6,MOINS,42,19
SAH,SOLHAN,26,55,7,40,15,7,12,64,10,60,11,0,10,118,3,111,2,2,24,PLUS,55,5
SAH,TANKOUGOUNADIE,26,48,10,69,1,2,4,54,15,69,3,0,10,106,10,106,3,32,7,PLUS,58,4
SAH,TIN-AKOFF,26,30,22,20,21,9,15,40,20,21,25,0,10,95,19,28,25,8,21,MOINS,19,25
SAH,TITABE,26,38,17,64,4,23,22,71,5,62,9,67,4,116,4,105,4,1,25,PLUS,59,2
SAH,TONGOMAYEL,26,32,21,50,8,21,21,66,7,41,20,57,6,96,18,61,15,42,3,MOINS,43,18
